,organism,transcripts,length,av_length,pident,av_pident,D_wasps,H_wasps,Mites,classification,family,host
40,Pandoravirus macleodensis,2,155 - 317,236,52.258 - 57.098,54.678,1,1,0,dsDNA,unclassified,NA
41,UR2 sarcoma virus,1,158 - 342,258.3333333,50.909 - 54.094,52.30066667,1,1,1,retrovirus,retroviridae,vertebrates
42,Dinocampus coccinellae paralysis virus,1,184,184,64.13,64.13,1,0,0,ssRNA+,iflaviridae,arthropods
43,Helicoverpa zea nudivirus 2,2,105 - 451,209.5714286,50.943 - 63.171,55.094,1,1,1,dsDNA,nudiviridae,arthropods
44,Ostreococcus lucimarinus virus 7,2,106 - 373,239.5,50.943 - 54.692,52.8175,1,1,1,dsDNA,phycodnaviridae,algae
45,Diadromus pulchellus ascovirus 4a,1,129 - 286,237.2,50.198 - 52.988,51.8566,1,1,1,dsDNA,ascoviridae,arthropods
46,Escherichia phage PBECO 4,1,243,243,50.206,50.206,1,0,0,dsDNA,myoviridae,bacteria
47,Choristoneura rosaceana nucleopolyhedrovirus,1,147,147,72.109,72.109,0,0,1,dsDNA,baculoviridae,arthropods
48,Skunkpox virus,1,141,141,78.014,78.014,0,0,1,dsDNA,poxviridae,vertebrates
49,Ostreococcus lucimarinus virus OlV5,1,220,220,50.455,50.455,1,1,0,dsDNA,phycodnaviridae,algae
50,Acanthamoeba polyphaga moumouvirus,1,197,197,54.822,54.822,0,0,1,dsDNA,mimiviridae,protozoa/vertebrates
51,Sanxia water strider virus 9,1,131,131,74.809,74.809,1,0,0,unclassified-RNA,unclassified,arthropods
52,Orpheovirus IHUMI-LCC2,8,106 - 356,189.2631579,50.281 - 66.351,55.88447368,1,1,1,dsDNA,phycodnaviridae,algae
53,Cyprinid herpesvirus 1,1,215,215,53.488,53.488,0,0,1,dsDNA,alloherpesviridae,vertebrates
54,Saimiriine gammaherpesvirus 2,1,157,157,67.516,67.516,1,1,0,dsDNA,herpesviridae,vertebrates
55,Dishui lake phycodnavirus 1,1,116 - 162,132.5,55.172 - 85.401,78.73316667,1,1,1,dsDNA,phycodnaviridae,algae
56,Kashmir bee virus,1,134,134,94.776,94.776,0,1,0,ssRNA+,dicistroviridae,arthropods
57,Pandoravirus salinus,2,108 - 359,192.6666667,50.418 - 53.704,51.524,0,0,1,dsDNA,unclassified,protozoa
58,Kelp fly virus,1,105 - 142,117.6666667,76.19 - 93.662,83.66133333,1,1,0,ssRNA+,unclassified,arthropods
59,Avian myelocytomatosis virus,2,143 - 180,161.5,56.111 - 79.021,67.566,1,1,0,retrovirus,retroviridae,vertebrates
60,Singapore grouper iridovirus,1,183,183,50.82,50.82,1,1,0,dsDNA,iridoviridae,vertebrates
61,Pigeonpox virus,1,176,176,55.682,55.682,1,1,0,dsDNA,poxviridae,vertebrates
62,Cassava brown streak virus,1,185 - 186,185.5,50.811 - 52.151,51.481,1,1,1,ssRNA+,potyviridae,plants
63,Hubei picorna-like virus 42,1,101,101,91.089,91.089,1,0,0,unclassified-RNA,unclassified,arthropods
64,Fowlpox virus,1,177,177,54.802,54.802,1,0,1,dsDNA,poxviridae,vertebrates
65,Paramecium bursaria Chlorella virus AR158,1,186,186,51.075,51.075,1,1,0,dsDNA,phycodnaviridae,algae
66,Acanthamoeba polyphaga mimivirus,1,165,165,53.333,53.333,1,1,0,dsDNA,mimiviridae,protozoa/vertebrates
67,Aphid lethal paralysis virus,1,111,111,83.784,83.784,0,1,0,ssRNA+,dicistroviridae,arthropods
68,Epinotia aporema granulovirus,1,139 - 149,144,62.416 - 63.309,62.8625,1,1,1,dsDNA,baculoviridae,arthropods
69,Scale drop disease virus,3,131 - 191,165.6,50.35 - 59.686,56.1306,1,1,1,dsDNA,iridoviridae,vertebrates
70,Pandoravirus inopinatum,1,165 - 167,166.3333333,52.096 - 57.576,53.92266667,1,1,1,dsDNA,unclassified,protozoa
71,Oryctes rhinoceros nudivirus,1,133 - 192,156.6666667,52.083 - 55.862,54.27733333,0,0,1,dsDNA,nudiviridae,arthropods
72,Bovine papular stomatitis virus,1,128,128,67.969,67.969,0,0,1,dsDNA,poxviridae,vertebrates
73,Hubei mosquito virus 2,1,105 - 196,150.5,52.041 - 59.048,55.5445,1,0,0,unclassified-RNA,unclassified,arthropods
74,Pandoravirus neocaledonia,1,128 - 195,160.75,54.359 - 61.875,59.76175,1,1,1,dsDNA,unclassified,unknown
75,Aureococcus anophagefferens virus,3,106 - 263,169.1764706,50.292 - 54.887,52.21776471,1,1,1,dsDNA,phycodnaviridae,algae
76,Lymantria dispar multiple nucleopolyhedrovirus,1,143 - 152,147.5,53.147 - 58.553,55.85,1,1,1,dsDNA,baculoviridae,arthropods
77,Mollivirus sibericum,1,158,158,50.633,50.633,0,0,1,unclassified,unclassified,protozoa
78,Deformed wing virus,1,143,143,53.846,53.846,0,1,0,ssRNA+,iflaviridae,arthropods
79,Hubei picorna-like virus 45,1,154,154,52.597,52.597,0,1,0,unclassified-RNA,unclassified,arthropods
80,Hubei picorna-like virus 48,1,137,137,51.825,51.825,0,1,0,unclassified-RNA,unclassified,arthropods
81,Cafeteria roenbergensis virus BV-PW1,6,101 - 555,164.8,50.811 - 69.504,54.6629,1,1,1,dsDNA,mimiviridae,protozoa
82,Phaeocystis globosa virus,2,102 - 177,140.6666667,50.98 - 61.538,54.83166667,1,1,0,dsDNA,phycodnaviridae,algae
83,Wuhan insect virus 13,1,116,116,60.345,60.345,1,0,0,unclassified-RNA,unclassified,arthropods
84,Hubei picorna-like virus 50,1,160,160,53.75,53.75,0,1,0,unclassified-RNA,unclassified,arthropods
85,Megavirus chiliensis,3,112 - 186,148.3333333,51.701 - 53.571,52.65333333,1,1,1,dsDNA,mimiviridae,protozoa/vertebrates
86,Cedratvirus A11,1,161,161,50.932,50.932,1,1,0,dsDNA,pithoviridae,protozoa
87,Hubei picorna-like virus 51,1,107 - 115,111,59.13 - 66.355,62.7425,0,1,0,unclassified-RNA,unclassified,arthropods
88,Paramecium bursaria Chlorella virus FR483,2,110 - 153,140.2,52.941 - 56.364,55.5594,1,0,1,dsDNA,phycodnaviridae,algae
89,Murine type C retrovirus,1,133,133,73.684,73.684,1,0,1,retrovirus,retroviridae,vertebrates
90,Spodoptera frugiperda multiple nucleopolyhedrovirus,1,139 - 149,144,51.799 - 55.705,53.752,1,1,1,dsDNA,baculoviridae,arthropods
91,Anguillid herpesvirus 1,1,130 - 130,130,50.769 - 54.615,53.6535,1,1,1,dsDNA,alloherpesviridae,vertebrates
92,African swine fever virus,1,127 - 162,142.75,50.617 - 54.61,52.065,1,1,1,dsDNA,asfarviridae,vertebrates
93,Ectocarpus siliculosus virus 1,1,111 - 178,141.3333333,51.351 - 59.259,54.09833333,1,1,1,dsDNA,phycodnaviridae,algae
94,Canarypox virus,1,121,121,55.372,55.372,1,1,0,dsDNA,poxviridae,chordopoxviridae
95,Himetobi P virus,2,121 - 122,121.5,53.719 - 58.197,55.958,1,1,0,ssRNA+,dicistroviridae,arthropods
96,Escherichia virus RB16,1,112,112,64.286,64.286,1,0,0,dsDNA,myoviridae,bacteria
97,Emiliania huxleyi virus 86,1,154 - 154,154,50.649 - 50.649,50.649,1,1,0,dsDNA,phycodnaviridae,algae
98,Invertebrate iridovirus 22,1,131,131,54.198,54.198,1,1,0,dsDNA,iridoviridae,arthropods
99,Anomala cuprea entomopoxvirus,1,138,138,53.623,53.623,1,1,0,dsDNA,poxviridae,arthropods
100,Myotis gammaherpesvirus 8,1,110,110,51.818,51.818,0,1,0,dsDNA,herpesviridae,vertebrates
101,Methanothermobacter wolfeii,1,117,117,56.41,56.41,0,0,1,NA,NA,NA
102,Murine osteosarcoma virus,1,108 - 134,126.75,52.778 - 57.895,54.55075,1,1,1,retrovirus,orthoretroviridae,vertebrates
103,Wiseana iridescent virus,1,109,109,52.294,52.294,0,0,1,dsDNA,iridoviridae,arthropods
104,Brazilian marseillevirus,1,105 - 113,108,50.442 - 50.943,50.62033333,1,0,1,dsDNA,marseilleviridae,protozoa
