47. putative apurinic-apyrimidinic endonuclease 1 [Cafeteria roenbergensis virus BV-PW1],YP_003969738.1,GI:310831095
48. putative ubiquitin-conjugating enzyme E2 [Cafeteria roenbergensis virus BV-PW1],YP_003969913.1,GI:310831270
49. putative superfamily II RNA helicase [Cafeteria roenbergensis virus BV-PW1],YP_003970015.1,GI:310831372
50. putative DnaK/Hsp70 [Cafeteria roenbergensis virus BV-PW1],YP_003970036.1,GI:310831393
51. probable ubiquitin-conjugating enzyme E2 [Acanthamoeba polyphaga mimivirus],YP_003987035.1,GI:311977915
52. hypothetical protein BpV1_008c [Bathycoccus sp. RCC1105 virus BpV1],YP_004061438.1,GI:313768007
53. glycine dehydrogenase [Prochlorococcus phage P-HM2],YP_004323547.1,GI:326783150
54. eukaryotic peptide chain release factor subunit 1 [Lausannevirus],YP_004347130.1,GI:327409710
55. putative envelope polyprotein [PreXMRV-1],YP_004680224.1,GI:339276106
56. hypothetical protein WIV_gp136 [Wiseana iridescent virus],YP_004732919.1,GI:339906122
57. putative procollagen-lysine 2-oxoglutarate 5-dioxygenase [Megavirus chiliensis],YP_004894378.1,GI:363539911
58. DNA topoisomerase 2 [Megavirus chiliensis],YP_004894454.1,GI:363540235
59. intein-containing DNA-directed RNA polymerase subunit 2 [Megavirus chiliensis],YP_004894390.1,GI:363540255
60. orf23 gene product [Helicoverpa zea nudivirus 2],YP_004956771.1,GI:370702969
61. orf66 gene product [Helicoverpa zea nudivirus 2],YP_004956814.1,GI:370703012
62. nucleoside diphosphate kinase [Anguillid herpesvirus 1],YP_003358229.2,GI:387866117
63. putative ATP-dependent DNA ligase [Abalone herpesvirus Victoria/AUS/2009],YP_006908759.1,GI:410493561
64. dUTPase [Epinotia aporema granulovirus],YP_006908521.1,GI:410493583
65. thymidylate kinase [Cyprinid herpesvirus 1],YP_007003686.1,GI:422933562
66. HAM1-like protein [Cassava brown streak virus],YP_007032446.1,GI:426580897
67. HSP70-like protein [Acanthamoeba polyphaga moumouvirus],YP_007354398.1,GI:441432356
68. RNA-dependent RNA polymerase [Rosellinia necatrix partitivirus 2],YP_007419077.1,GI:448826159
"69. GDP-D-mannose 4,6-dehydratase [Synechococcus phage S-SKS1]",YP_007674420.1,GI:472340900
70. ATP-dependent metalloprotease [Ostreococcus lucimarinus virus OlV5],YP_007674885.1,GI:472341366
71. heat shock protein 70 [Micromonas pusilla virus 12T],YP_007676312.1,GI:472342805
72. ATP-dependent metalloprotease FtsH [Micromonas pusilla virus 12T],YP_007676316.1,GI:472342809
73. ATP-dependent zinc metalloprotease [Phaeocystis globosa virus],YP_008052571.1,GI:508182052
74. DNA-directed RNA polymerase II subunit RPB1 [Phaeocystis globosa virus],YP_008052581.1,GI:508182062
75. matrix metalloproteinase-17-like [Invertebrate iridovirus 22],YP_008357315.1,GI:527333531
76. eukaryotic translation initiation factor 5 [Choristoneura rosaceana nucleopolyhedrovirus],YP_008378391.1,GI:529153351
"77. DNA helicase PIF1, ATP-dependent [Pandoravirus salinus]",YP_008437119.1,GI:531035488
78. Tyrosine-tRNA ligase [Pandoravirus salinus],YP_008438242.1,GI:531036605
79. superoxide dismutase [Anomala cuprea entomopoxvirus],YP_009001565.1,GI:582973191
80. enolase [Streptococcus phage 20617],YP_009003341.1,GI:588295080
81. HAL3 domain protein [Pigeonpox virus],YP_009046348.1,GI:659488487
82. putative cyclophilin type peptydyl-prolyl cis-trans isomerase [Aureococcus anophagefferens virus],YP_009052149.1,GI:672551188
83. putative serine threonine protein phosphatase [Aureococcus anophagefferens virus],YP_009052252.1,GI:672551194
84. putative eukaryotic translation elongation factor 5A [Aureococcus anophagefferens virus],YP_009052187.1,GI:672551268
85. polyprotein [Dinocampus coccinellae paralysis virus],YP_009111311.1,GI:731188617
86. GTP cyclohydrolase [Pandoravirus inopinatum],YP_009120778.1,GI:755575661
87. hypothetical protein [Escherichia phage PBECO 4],YP_009150853.1,GI:849121937
88. ORF_057R [Scale drop disease virus],YP_009163818.1,GI:922073192
89. ORF_067R [Scale drop disease virus],YP_009163828.1,GI:922073202
90. ORF_085L [Scale drop disease virus],YP_009163846.1,GI:922073220
91. DCMP deaminase [Mollivirus sibericum],YP_009165462.1,GI:927594636
92. ubiquitin conjugating enzyme E2 [Chrysochromulina ericina virus],YP_009173309.1,GI:939177401
93. guanosine 5'-monophosphate oxidoreductase/ ou inosine monophosphate dehydrogenase [Chrysochromulina ericina virus],YP_009173395.1,GI:939177487
"94. Intein containing DNA-directed RNA polymerase II, subunit RPB2 [Chrysochromulina ericina virus]",YP_009173543.1,GI:939177635
95. Helicase 45 [Chrysochromulina ericina virus],YP_009173589.1,GI:939177681
96. Hsp70 protein [Chrysochromulina ericina virus],YP_009173627.1,GI:939177719
97. hypothetical protein OlV7_219c [Ostreococcus lucimarinus virus 7],YP_009173231.1,GI:939186150
98. hypothetical protein OlV7_232 [Ostreococcus lucimarinus virus 7],YP_009173244.1,GI:939186163
99. GNS1/SUR4-like protein [Turkeypox virus],YP_009177047.1,GI:946699568
"100. putative fructose-1,6-bisphosphate aldolase [Prochlorococcus phage P-TIM68]",YP_009213665.1,GI:971760326
101. hypothetical protein AV955_gp109 [Diadromus pulchellus ascovirus 4a],YP_009221129.1,GI:973967032
102. thymidylate synthase [Macropodid alphaherpesvirus 1],YP_009227216.1,GI:992073385
103. vBcl-2 [Myotis gammaherpesvirus 8],YP_009229834.1,GI:998246213
104. histone H2B/H2A fusion protein [Brazilian marseillevirus],YP_009238942.1,GI:1011056091
105. polyprotein [Washington bat picornavirus],YP_009272812.1,GI:1060479771
106. ribonucleotide reductase large subunit [Skunkpox virus],YP_009282766.1,GI:1070062772
107. polyprotein [Moku virus],YP_009305421.1,GI:1079485076
108. DNA topoisomerase II [Only Syngen Nebraska virus 5],YP_009325819.1,GI:1109302693
109. Translation elongation factor 3 [Only Syngen Nebraska virus 5],YP_009325868.1,GI:1109302742
110. Deoxycytidylate deaminase [Cedratvirus A11],YP_009329257.1,GI:1115260970
111. hypothetical protein [Wuhan spider virus 2],YP_009329861.1,GI:1124091159
112. hypothetical protein [Hubei picorna-like virus 46],YP_009330031.1,GI:1125811774
113. hypothetical protein 2 [Hubei sobemo-like virus 28],YP_009330115.1,GI:1125811884
114. hypothetical protein [Hubei picorna-like virus 50],YP_009337053.1,GI:1132350683
115. hypothetical protein [Sanxia water strider virus 9],YP_009337438.1,GI:1132350725
116. hypothetical protein 1 [Hubei picorna-like virus 15],YP_009336540.1,GI:1132370348
117. hypothetical protein 2 [Hubei picorna-like virus 15],YP_009336541.1,GI:1132370349
118. hypothetical protein 2 [Hubei picorna-like virus 42],YP_009336565.1,GI:1132370385
119. hypothetical protein [Hubei picorna-like virus 48],YP_009337018.1,GI:1132371028
120. hypothetical protein [Hubei picorna-like virus 45],YP_009337045.1,GI:1132371063
121. hypothetical protein [Hubei tetragnatha maxillosa virus 3],YP_009337339.1,GI:1132371450
122. hypothetical protein 2 [Wenzhou sobemo-like virus 4],YP_009337376.1,GI:1132371492
123. hypothetical protein 2 [Hubei picorna-like virus 51],YP_009337724.1,GI:1132371916
124. hypothetical protein 2 [Hubei mosquito virus 2],YP_009337877.1,GI:1132372141
125. hypothetical protein [Wuhan insect virus 13],YP_009342321.1,GI:1134945844
126. structural polyprotein [Bat badicivirus 1],YP_009345909.1,GI:1150147001
127. polyprotein [Grapevine rupestris vein feathering virus],YP_009351862.1,GI:1159189020
128. ribonucleotide reductase large subunit [Murmansk poxvirus],YP_009408251.1,GI:1236513464
129. Ribonucleotide reductase small subunit [Eptesipox virus],YP_009407970.1,GI:1237089637
130. Ribonucleotide reductase large subunit [Eptesipox virus],YP_009408000.1,GI:1237089667
131. Replication factor C subunit [Pandoravirus dulcis],YP_008319776.2,GI:1247581857
132. 3'5'-cyclic nucleotide phosphodiesterase [Orpheovirus IHUMI-LCC2],YP_009448213.1,GI:1327849001
133. Myristoyl-CoA protein:N-myristoyltransferase [Orpheovirus IHUMI-LCC2],YP_009448265.1,GI:1327849053
134. Arginyl-tRNA synthetase [Orpheovirus IHUMI-LCC2],YP_009448418.1,GI:1327849206
135. Asparagine synthase [Orpheovirus IHUMI-LCC2],YP_009448498.1,GI:1327849286
"136. Serine-tRNA synthetase, type1 [Orpheovirus IHUMI-LCC2]",YP_009448811.1,GI:1327849599
137. Aspartyl-tRNA synthetase [Orpheovirus IHUMI-LCC2],YP_009448888.1,GI:1327849676
138. GTP ras-related protein Rac1 [Orpheovirus IHUMI-LCC2],YP_009449015.1,GI:1327849803
"139. Tyrosine-tRNA synthetase, cytoplasmic [Orpheovirus IHUMI-LCC2]",YP_009449020.1,GI:1327849808
140. hypothetical protein DSLPV1_013 [Dishui lake phycodnavirus 1],YP_009465730.1,GI:1347731956
141. Replication factor C subunit [Pandoravirus macleodensis],YP_009481432.1,GI:1408258351
142. Phospho-2-dehydro-3-deoxyheptonate aldolase [Pandoravirus macleodensis],YP_009481510.1,GI:1408258429
143. S-phase kinase-associated protein 1 [Pandoravirus neocaledonia],YP_009482443.1,GI:1408259363
